vx,vy,angular,x,y,theta
0.0,0.0,0.0,0.0,0.0,0.0
-0.009,0.157,-0.068,-0.0008813274749999999,0.015374268175,-0.006658918700000001
0.132,-0.171,0.58,0.012147096593607479,-0.0017378362857313721,0.051086595279999994
-0.206,0.304,0.068,-0.010012238269159868,0.027615420236504876,0.057896999687999995
0.265,-0.245,0.273,0.01784239484283417,0.0047052233368370736,0.08517873462299999
-0.328,-0.024,-0.17,-0.014601925569333641,-0.00047136234157171397,0.068195789023
0.368,-0.083,0.512,0.02271094646929878,-0.00624949240202936,0.119440870111
-0.235,-0.294,0.0,0.0021861360524114623,-0.03936220173627361,0.119440870111
0.456,-0.211,0.307,0.048557185183752904,-0.05441782558553866,0.149229760423
-0.039,0.127,-0.068,0.042751456369919005,-0.04231186281187864,0.14235769585900002
-0.201,0.034,-0.102,0.022271269607986113,-0.041795441100426954,0.13210707866500002
0.265,0.049,0.341,0.04758536486001072,-0.033548323797947276,0.165795122703
-0.093,0.377,0.102,0.032142358948031836,0.002212536019444912,0.176027359089
-0.24,0.211,0.034,0.004915731754372231,0.018724459264691188,0.17941522319699998
0.098,-0.186,0.136,0.01781719198267727,0.002249108421455391,0.192951765325
0.206,0.019,0.068,0.03766295298525281,0.008061806624142886,0.199749156573
-0.176,0.284,-0.068,0.014621935945376602,0.032570521101398756,0.192902880329
-0.309,0.044,-0.239,-0.01630874141906271,0.03097745515103409,0.169186673958
0.23,0.083,-0.102,0.004915324333147182,0.04300338362437266,0.15901063794
0.014,-0.211,-0.375,0.00963577167785733,0.022403881367356483,0.12153361794
0.225,-0.068,0.478,0.0328784336061949,0.018367190188307635,0.16950747036400002
0.127,0.215,0.683,0.04175840622976384,0.04167256117892706,0.23772275924000003
0.211,0.22,0.102,0.057046711371727475,0.06795819155396482,0.247897792292
-0.181,0.309,-0.375,0.03191297848680989,0.0934777519277118,0.210390007667
0.088,0.029,0.0,0.03990965869147523,0.0981494851111276,0.210390007667
-0.049,0.176,0.273,0.031343488667704394,0.11452660067954545,0.238007933093
-0.024,0.024,0.649,0.028479001881059566,0.1162725631370726,0.302153335601
-0.265,0.098,0.0,0.00017374078475410407,0.11774748514541587,0.302153335601
-0.314,-0.058,-0.546,-0.027975564143817536,0.10292019626146301,0.247750976681
0.049,0.147,-0.409,-0.026828728615497077,0.11838976332976495,0.20680647788999998
0.0,0.088,-0.204,-0.028636210284072927,0.12700477337358745,0.186400500486
-0.058,-0.186,0.068,-0.030908300410435213,0.10748398796273184,0.19325956888999998
-0.019,-0.088,0.136,-0.031082037364652648,0.0985228312327671,0.206799238882
-0.039,0.186,-0.068,-0.03876936851627501,0.11604270358082855,0.19995353771399998
-0.142,0.053,-0.239,-0.05396602578165835,0.11845262580946664,0.17569132102499999
-0.034,-0.181,0.034,-0.054147608068479666,0.10027716138560042,0.179046976695
0.024,-0.044,0.239,-0.0509842358640265,0.09635242143589956,0.203084778598
-0.132,-0.004,0.239,-0.06373047015941163,0.0933225146189151,0.226795378746
-0.22,0.073,-0.375,-0.08671588026895738,0.09548004343183784,0.18944594874600001
-0.161,0.122,0.034,-0.10477044815164055,0.10440280770977899,0.19283565585800003
-0.147,-0.196,0.0,-0.11554324238354235,0.08213926730362145,0.19283565585800003
0.044,0.014,0.375,-0.1114535871723131,0.08437817619613763,0.23070147773300004
-0.103,-0.034,0.239,-0.12052033793954915,0.07882508341496924,0.25412884065400004
-0.166,-0.029,0.068,-0.13580740322497734,0.07186802762875556,0.26090635380200006
0.004,-0.161,-0.307,-0.131269500002479,0.056421727559211945,0.23021755592500007
-0.107,0.098,0.0,-0.14397116047727887,0.06354831226892695,0.23021755592500007
-0.122,0.132,0.034,-0.1592130958847568,0.07385394877524311,0.23369786491100006
-0.191,-0.034,0.17,-0.1765352387073493,0.06632802529179664,0.25024758438100003
-0.107,0.117,0.0,-0.18979089692321313,0.07500824033211503,0.25024758438100003
-0.044,-0.171,-0.307,-0.18981909279185558,0.05737594820743694,0.21959052170800003
0.107,-0.255,-0.136,-0.17381370299825816,0.034808257220299565,0.20598400390800004
0.107,-0.314,-0.068,-0.15688859434002345,0.0062114430476653895,0.19917231321200005
-0.009,-0.392,-0.068,-0.14994723981461705,-0.03277089258794859,0.19230551286800004
0.176,-0.274,-0.204,-0.12767700323026895,-0.05604901342558319,0.17212488120800004
0.137,-0.235,-0.341,-0.11015987907260295,-0.07684883202206647,0.13803543413500002
0.152,-0.397,-0.17,-0.08938118624824526,-0.11455269533996376,0.12081947463500002
0.186,-0.353,0.273,-0.06685879527432298,-0.14706977419202344,0.14788325920100004
0.019,-0.068,0.0,-0.06398944173950045,-0.15348908047601892,0.14788325920100004
0.024,-0.191,-0.375,-0.05880560035187456,-0.17201179663079819,0.11041397320100003
0.225,-0.265,0.068,-0.03348437339809833,-0.19590721590122215,0.11722425010900003
0.083,-0.142,-0.375,-0.02350982381251688,-0.2091328209268203,0.07945641010900004
0.088,-0.196,0.341,-0.012905532550148584,-0.22847660082259857,0.11446883369800004
0.191,0.23,-0.307,0.003070330053842496,-0.204015280000918,0.08446760745000004
0.152,0.004,-0.034,0.018147138442495898,-0.20233824591119684,0.08107553880000004
-0.166,-0.039,-0.068,0.0019266150664049853,-0.20756688165266785,0.07427935169600004
0.117,-0.107,0.341,0.014366563613127282,-0.21735192248190066,0.10831956825800004
-0.019,0.117,-0.341,0.011218900956830577,-0.20594786865567288,0.07428513437400004
0.083,-0.122,-0.102,0.020487583011818904,-0.21760655853366287,0.06398946429000005
0.083,-0.122,-0.102,0.029429277796577242,-0.22909479228484408,0.05392615642800005
0.083,-0.122,-0.102,0.0383677454079991,-0.2408204426506481,0.04373419198800005
0.083,-0.122,-0.102,0.04731403622524064,-0.25280781594473145,0.03339453124200005
0.083,-0.122,-0.102,0.05589218566359312,-0.26455333792147523,0.02334052221000005
0.083,-0.122,-0.102,0.06449435055310432,-0.2765838534616086,0.01311711280200005
0.083,-0.122,-0.102,0.07293693369018711,-0.2886500286819428,0.0029372817720000506
0.083,-0.122,-0.102,0.08126859703171388,-0.30081955598528554,-0.0072576577019999484
0.083,-0.122,-0.102,0.08948442792587903,-0.3130863290662893,-0.01746336205199995
0.083,-0.122,-0.102,0.09801176963284934,-0.32610359997653776,-0.02822049737399995
0.083,-0.122,-0.102,0.10554002923448877,-0.3378699485690576,-0.037876419785999954
0.083,-0.122,-0.102,0.11335607251968817,-0.35034991518395864,-0.04805555384999995
0.083,-0.122,-0.102,0.12105944416200974,-0.3629329143693394,-0.058254237437999956
0.083,-0.122,-0.102,0.1286342704819754,-0.3755941281033541,-0.06845316755999996
0.083,-0.122,-0.102,0.1360976025616299,-0.3883627808935688,-0.07867679371799996
0.083,-0.122,-0.102,0.14339774765182714,-0.4011505617589902,-0.08885544328199996
0.083,-0.122,-0.102,0.15058081341203808,-0.4140361282390749,-0.09905320040399995
0.083,-0.122,-0.102,0.15763291219148332,-0.4269957596739196,-0.10925212624199995
0.083,-0.122,-0.102,0.16466373865142647,-0.44023617614644844,-0.11961505073999995
0.083,-0.122,-0.102,0.17138410986037036,-0.45321488389313963,-0.12971809076399995
0.083,-0.122,-0.102,0.17810419799360386,-0.4665205629340713,-0.14002227764399997
0.083,-0.122,-0.102,0.18458857070602572,-0.47969514660533,-0.15017265709199995
0.083,-0.122,-0.102,0.1909739172840329,-0.4930079085835255,-0.16037903290799996
0.083,-0.122,-0.102,0.1972018435814672,-0.5063397333284855,-0.17055075942599995
